Account,Category,Parent,Type,FY 20-21 Actual,FY 20-21 Budget,FY 21-22 Actual,FY 21-22 Budget,FY 22-23 Actual,FY 22-23 Budget,FY 23-24 Actual,FY 23-24 Budget,FY 24-25 Actual,FY 24-25 Budget,FY 25-26 Actual,FY 25-26 Budget,FY 26-27 Actual,FY 26-27 Budget
7130,Grader Maintenance,7100,Operating Expense,3951.18,3000.00,543.52,1000.00,4857.36,2000.00,4101.37,3500.00,1280.40,2000.00,1919.52,2000.00,0.00,2000.00
7140,Dump Truck Maintenance,7100,Operating Expense,800.79,1000.00,7282.33,1000.00,728.77,2000.00,377.72,3000.00,552.37,500.00,0.00,500.00,0.00,500.00
7160,Backhoe Maintenance,7100,Operating Expense,3364.33,2000.00,4459.30,2000.00,13135.91,2000.00,6627.28,3000.00,6327.59,1000.00,517.94,3000.00,0.00,3000.00
7170,PickUp Maintenance,7100,Operating Expense,3045.18,1000.00,2739.94,1000.00,5245.24,2500.00,5737.53,4000.00,4768.57,1500.00,2047.10,2000.00,0.00,2000.00
7175,Tractor/Chipper/RTV Maintenance,7100,Operating Expense,238.14,500.00,680.72,500.00,3201.92,500.00,3041.68,1500.00,1321.22,1500.00,1386.81,1500.00,0.00,1500.00
7180,Air Curtain Burner Maintenance,7100,Operating Expense,28.00,0.00,,,215.66,0.00,89.92,200.00,0.00,200.00,0.00,200.00,0.00,200.00
7185,Trailer,7100,Operating Expense,,,,,,,201.11,250.00,,,,,,
7190,Equipment Other,7100,Operating Expense,,,10.00,,,,,,55.03,250.00,5331.95,250.00,0.00,250.00
7210,Insurance,7200,Operating Expense,20231.16,24000.00,15301.20,16000.00,13277.27,17000.00,14998.54,15000.00,15477.35,15500.00,16837.70,16250.00,0.00,16250.00
7220,Bookkeeping & Financial Reports,7200,Operating Expense,12865.50,14725.00,18892.93,14725.00,13549.00,15000.00,14538.15,15000.00,9307.64,16000.00,2859.61,5400.00,0.00,5400.00
7225,Finance Charges,7200,Operating Expense,41.00,0.00,,,139.59,0.00,,,,,377.35,0.00,0.00,0.00
7230,Dumpsters,7200,Operating Expense,27690.07,14600.00,11329.58,11600.00,14114.01,10000.00,15589.08,15000.00,15998.60,16200.00,11374.71,18000.00,0.00,18000.00
